Specimen,Subfamily,Tribe,Genus,Species,Element,Formation,Member,State,Region,Epoch,NALMA,TrueArea(cm2),EnamelLength(cm),OEI
JODA 1997,Equinae,"""Merychippini""",Merychippus,sp.,P2,Mascall,,Oregon,Columbia Plateau,Miocene,Barstovian,2.072,13.926,9.675
JODA 1998,Equinae,"""Merychippini""",Merychippus,sp.,P2,Mascall,,Oregon,Columbia Plateau,Miocene,Barstovian,2.802,16.977,10.142
JODA 2001,Equinae,Hipparionini,Hipparion,sp.,,Rattlesnake,,Oregon,Columbia Plateau,Miocene,Hemphillian,3.19,19.583,10.964
JODA 2066,Equinae,Hipparionini,Neohipparion,sp.,,Rattlesnake,,Oregon,Columbia Plateau,Miocene,Hemphillian,3.776,19.548,10.060
JODA 2069,Equinae,Equini,Pliohippus,sp.,,Rattlesnake,,Oregon,Columbia Plateau,Miocene,Hemphillian,5.142,20.243,8.927
JODA 2072,Equinae,Equini,Pliohippus,sp.,P2,Rattlesnake,,Oregon,Columbia Plateau,Miocene,Hemphillian,3.937,17.621,8.881
JODA 2402,Anchitheriinae,"""Anchitheriini""",Parahippus ,sp.,,Mascall,,Oregon,Columbia Plateau,Miocene,Barstovian,1.922,13.412,9.674
JODA 2405,Anchitheriinae,"""Anchitheriini""",Parahippus ,sp.,,Mascall,,Oregon,Columbia Plateau,Miocene,Barstovian,2,12.789,9.043
JODA 2406,Anchitheriinae,"""Anchitheriini""",Parahippus ,sp.,,Mascall,,Oregon,Columbia Plateau,Miocene,Barstovian,1.761,13.744,10.357
JODA 2407,Anchitheriinae,"""Anchitheriini""",Parahippus ,sp.,,Mascall,,Oregon,Columbia Plateau,Miocene,Barstovian,1.865,13.112,9.601
JODA 2408,Anchitheriinae,"""Anchitheriini""",Parahippus ,sp.,,Mascall,,Oregon,Columbia Plateau,Miocene,Barstovian,1.79,11.697,8.743
JODA 2409,Anchitheriinae,"""Anchitheriini""",Parahippus ,sp.,,Mascall,,Oregon,Columbia Plateau,Miocene,Barstovian,2.03,10.406,7.304
JODA 2428,,,?,,,Mascall,,Oregon,Columbia Plateau,Miocene,Barstovian,1.291,9.832,8.653
JODA 2435,Anchitheriinae,"""Anchitheriini""",Parahippus ,sp.,P2,Mascall,,Oregon,Columbia Plateau,Miocene,Barstovian,2.209,10.862,7.308
JODA 2435,Anchitheriinae,"""Anchitheriini""",Parahippus ,sp.,P3,Mascall,,Oregon,Columbia Plateau,Miocene,Barstovian,2.666,13.48,8.256
JODA 2435,Anchitheriinae,"""Anchitheriini""",Parahippus ,sp.,P4,Mascall,,Oregon,Columbia Plateau,Miocene,Barstovian,2.727,14.193,8.595
JODA 2435,Anchitheriinae,"""Anchitheriini""",Parahippus ,sp.,M1,Mascall,,Oregon,Columbia Plateau,Miocene,Barstovian,2.745,12.958,7.821
JODA 2435,Anchitheriinae,"""Anchitheriini""",Parahippus ,sp.,M2,Mascall,,Oregon,Columbia Plateau,Miocene,Barstovian,2.677,14.393,8.797
JODA 2435,Anchitheriinae,"""Anchitheriini""",Parahippus ,sp.,M3,Mascall,,Oregon,Columbia Plateau,Miocene,Barstovian,2.365,13.778,8.959
JODA 2446,Equinae,"""Merychippini""",Merychippus,sp.,,Mascall,,Oregon,Columbia Plateau,Miocene,Barstovian,2.846,19.043,11.288
JODA 2564,Equinae,Hipparionini,Cormohipparion ,sp.,,Rattlesnake,,Oregon,Columbia Plateau,Miocene,Hemphillian,3.912,26.943,13.622
JODA 293,Equinae,"""Merychippini""",Merychippus,sp.,,Mascall,,Oregon,Columbia Plateau,Miocene,Barstovian,2.373,17.1,11.101
JODA 294,Equinae,"""Merychippini""",Merychippus,sp.,,Mascall,,Oregon,Columbia Plateau,Miocene,Barstovian,2.536,16.971,10.657
JODA 561,Equinae,Hipparionini,Neohipparion,sp.,,Rattlesnake,,Oregon,Columbia Plateau,Miocene,Hemphillian,3.793,20.189,10.366
MVZ 117884,Equinae,Equini,Equus ,quagga,P2,,,,,Recent,Recent,6.291,24.088,9.604
MVZ 117884,Equinae,Equini,Equus ,quagga,P3,,,,,Recent,Recent,6.295,23.219,9.254
MVZ 117884,Equinae,Equini,Equus ,quagga,P4,,,,,Recent,Recent,6.455,22.964,9.039
MVZ 117884,Equinae,Equini,Equus ,quagga,M1,,,,,Recent,Recent,5.423,19.163,8.229
MVZ 117884,Equinae,Equini,Equus ,quagga,M2,,,,,Recent,Recent,4.9,18.833,8.508
MVZ 117884,Equinae,Equini,Equus ,quagga,M3,,,,,Recent,Recent,3.854,17.201,8.762
MVZ 117885,Equinae,Equini,Equus ,quagga,P2,,,,,Recent,Recent,5.643,19.015,8.005
MVZ 117885,Equinae,Equini,Equus ,quagga,P3,,,,,Recent,Recent,5.594,19.55,8.266
MVZ 117885,Equinae,Equini,Equus ,quagga,P4,,,,,Recent,Recent,5.09,19.4,8.599
MVZ 117885,Equinae,Equini,Equus ,quagga,M1,,,,,Recent,Recent,4.301,16.554,7.982
MVZ 117885,Equinae,Equini,Equus ,quagga,M2,,,,,Recent,Recent,4.262,16.617,8.049
MVZ 117885,Equinae,Equini,Equus ,quagga,M3,,,,,Recent,Recent,3.596,15.598,8.225
MVZ 117887,Equinae,Equini,Equus ,quagga,P2,,,,,Recent,Recent,5.685,21.42,8.984
MVZ 117887,Equinae,Equini,Equus ,quagga,P3,,,,,Recent,Recent,5.307,20.327,8.824
MVZ 117887,Equinae,Equini,Equus ,quagga,P4,,,,,Recent,Recent,5.375,21.128,9.113
MVZ 117887,Equinae,Equini,Equus ,quagga,M1,,,,,Recent,Recent,4.307,17.864,8.608
MVZ 117887,Equinae,Equini,Equus ,quagga,M2,,,,,Recent,Recent,3.859,18.425,9.379
MVZ 117887,Equinae,Equini,Equus ,quagga,M3,,,,,Recent,Recent,3.316,16.325,8.965
MVZ 117888,Equinae,Equini,Equus ,quagga,P2,,,,,Recent,Recent,5.636,21.309,8.976
MVZ 117888,Equinae,Equini,Equus ,quagga,P3,,,,,Recent,Recent,5.596,20.438,8.640
MVZ 117888,Equinae,Equini,Equus ,quagga,P4,,,,,Recent,Recent,5.523,20.081,8.545
MVZ 117888,Equinae,Equini,Equus ,quagga,M1,,,,,Recent,Recent,5.397,19.094,8.219
MVZ 117888,Equinae,Equini,Equus ,quagga,M2,,,,,Recent,Recent,4.818,18.611,8.479
MVZ 117888,Equinae,Equini,Equus ,quagga,M3,,,,,Recent,Recent,3.569,16.92,8.956
MVZ 154358,Equinae,Equini,Equus ,asinus,P2,,,,,Recent,Recent,4.735,16.469,7.568
MVZ 154358,Equinae,Equini,Equus ,asinus,P3,,,,,Recent,Recent,5.159,17.936,7.897
MVZ 154358,Equinae,Equini,Equus ,asinus,P4,,,,,Recent,Recent,5.287,18.543,8.064
MVZ 154358,Equinae,Equini,Equus ,asinus,M1,,,,,Recent,Recent,4.483,16.168,7.636
MVZ 154358,Equinae,Equini,Equus ,asinus,M2,,,,,Recent,Recent,4.373,16.386,7.836
MVZ 154358,Equinae,Equini,Equus ,asinus,M3,,,,,Recent,Recent,4.059,16.384,8.132
MVZ 55150,Equinae,Equini,Equus ,grevyi,P2,,,,,Recent,Recent,7.841,22.652,8.089
MVZ 55150,Equinae,Equini,Equus ,grevyi,P3,,,,,Recent,Recent,7.595,23.764,8.623
MVZ 55150,Equinae,Equini,Equus ,grevyi,P4,,,,,Recent,Recent,7.52,24.842,9.059
MVZ 55150,Equinae,Equini,Equus ,grevyi,M1,,,,,Recent,Recent,6.464,20.978,8.251
MVZ 55150,Equinae,Equini,Equus ,grevyi,M2,,,,,Recent,Recent,6.813,21.928,8.401
MVZ 55150,Equinae,Equini,Equus ,grevyi,M3,,,,,Recent,Recent,6.016,20.629,8.411
SDSM 12195,Equinae,Equini,Equus,calobatus,,,,South Dakota,Great Plains,Pleistocene,Irv/Rancho,9.914,34.932,11.094
SDSM 22027,Equinae,Equini,Equus,simplicidens ,P2,Savage Island? Ringold?,,Washington,Columbia Plateau,Pliocene,Blancan,5.788,24.504,10.185
SDSM 22032,Equinae,Equini,Equus,simplicidens ,,Savage Island? Ringold?,,Washington,Columbia Plateau,Pliocene,Blancan,6.862,26.805,10.233
SDSM 505,Equinae,"""Merychippini""",Merychippus,c.f. sejunctus,P2,Lower Snake Creek,,Nebraska,Great Plains,Miocene,Barstovian,2.699,12.496,7.606
SDSM 505,Equinae,"""Merychippini""",Merychippus,c.f. sejunctus,P3,Lower Snake Creek,,Nebraska,Great Plains,Miocene,Barstovian,3.191,14.976,8.384
SDSM 505,Equinae,"""Merychippini""",Merychippus,c.f. sejunctus,P4,Lower Snake Creek,,Nebraska,Great Plains,Miocene,Barstovian,3.244,15.285,8.486
SDSM 505,Equinae,"""Merychippini""",Merychippus,c.f. sejunctus,M1,Lower Snake Creek,,Nebraska,Great Plains,Miocene,Barstovian,2.65,13.502,8.294
SDSM 505,Equinae,"""Merychippini""",Merychippus,c.f. sejunctus,M2,Lower Snake Creek,,Nebraska,Great Plains,Miocene,Barstovian,2.877,15.653,9.228
SDSM 505,Equinae,"""Merychippini""",Merychippus,c.f. sejunctus,M3,Lower Snake Creek,,Nebraska,Great Plains,Miocene,Barstovian,3.023,15.418,8.868
SDSM 5057,Equinae,"""Merychippini""",Merychippus,sp.,,Lower Snake Creek,,Nebraska,Great Plains,Miocene,Barstovian,2.939,14.295,8.338
SDSM 5057,Equinae,"""Merychippini""",Merychippus,sp.,,Lower Snake Creek,,Nebraska,Great Plains,Miocene,Barstovian,3.022,15.582,8.963
SDSM 53217,Equinae,Hipparionini,Pseudhipparion ,sp.,,Ash Hollow,,South Dakota,Great Plains,Miocene,Clarendonian,2.276,15.258,10.114
SDSM 53217 F1,Equinae,Hipparionini,Pseudhipparion ,sp.,,Ash Hollow,,South Dakota,Great Plains,Miocene,Clarendonian,2.343,15.36,10.035
SDSM 53217-12,Equinae,Hipparionini,Cormohipparion ,sp.,,Ash Hollow,,South Dakota,Great Plains,Miocene,Clarendonian,4.44,22.671,10.759
SDSM 53217-17,Equinae,Hipparionini,Neohipparion,sp.,,Ash Hollow,,South Dakota,Great Plains,Miocene,Clarendonian,5.392,24.991,10.762
SDSM 53217-3,Equinae,Hipparionini,Cormohipparion ,sp.,,Ash Hollow,,South Dakota,Great Plains,Miocene,Clarendonian,5.465,28.41,12.153
SDSM 53217-30,Equinae,Hipparionini,Cormohipparion ,sp.,,Ash Hollow,,South Dakota,Great Plains,Miocene,Clarendonian,5.356,24.968,10.789
SDSM 53217-31,Equinae,Hipparionini,Neohipparion,sp.,,Ash Hollow,,South Dakota,Great Plains,Miocene,Clarendonian,4.03,23.094,11.504
SDSM 53217-34,Equinae,Hipparionini,Cormohipparion ,sp.,,Ash Hollow,,South Dakota,Great Plains,Miocene,Clarendonian,4.147,25.026,12.289
SDSM 53217-40,Equinae,Hipparionini,Cormohipparion ,sp.,,Ash Hollow,,South Dakota,Great Plains,Miocene,Clarendonian,4.896,24.847,11.229
SDSM 53217-5,Equinae,Equini,Pliohippus,sp.,,Ash Hollow,,South Dakota,Great Plains,Miocene,Clarendonian,3.349,16.655,9.101
SDSM 53217-9,Equinae,Hipparionini,Neohipparion,sp.,,Ash Hollow,,South Dakota,Great Plains,Miocene,Clarendonian,4.804,23.828,10.871
SDSM 53217-D,Equinae,Hipparionini,Neohipparion,sp.,,Ash Hollow,,South Dakota,Great Plains,Miocene,Clarendonian,4.402,25.061,11.945
SDSM 53217-E,Equinae,Hipparionini,Neohipparion,sp.,,Ash Hollow,,South Dakota,Great Plains,Miocene,Clarendonian,5.193,23.909,10.492
SDSM 53218 E,Equinae,Equini,Pliohippus,sp.,,Ash Hollow,,South Dakota,Great Plains,Miocene,Clarendonian,6.226,25.564,10.245
SDSM 53218 K,Equinae,Equini,Calippus,sp.,P2,Ash Hollow,,South Dakota,Great Plains,Miocene,Clarendonian,2.213,11.197,7.527
SDSM 53219 ,Equinae,Hipparionini,Pseudhipparion ,sp.,,Ash Hollow,,South Dakota,Great Plains,Miocene,Clarendonian,2.269,15.472,10.271
SDSM 53219 AG,Equinae,Hipparionini,Pseudhipparion ,sp.,,Ash Hollow,,South Dakota,Great Plains,Miocene,Clarendonian,2.508,16.465,10.397
SDSM 53219 AR,Equinae,Hipparionini,Pseudhipparion ,sp.,,Ash Hollow,,South Dakota,Great Plains,Miocene,Clarendonian,2.768,17.726,10.654
SDSM 53219 CJ,Equinae,Hipparionini,Pseudhipparion ,sp.,,Ash Hollow,,South Dakota,Great Plains,Miocene,Clarendonian,2.564,15.743,9.832
SDSM 53219 CZ ,Equinae,Hipparionini,Neohipparion,sp.,,Ash Hollow,,South Dakota,Great Plains,Miocene,Clarendonian,4.24,23.264,11.298
SDSM 53219 DS,Equinae,Hipparionini,Pseudhipparion ,sp.,,Ash Hollow,,South Dakota,Great Plains,Miocene,Clarendonian,2.124,15.917,10.922
SDSM 53219 X,Equinae,Hipparionini,Pseudhipparion ,sp.,,Ash Hollow,,South Dakota,Great Plains,Miocene,Clarendonian,2.269,16.83,11.173
SDSM 53219 Y,Equinae,Hipparionini,Pseudhipparion ,sp.,,Ash Hollow,,South Dakota,Great Plains,Miocene,Clarendonian,2.658,16.033,9.834
SDSM 53220,Equinae,Equini,Pliohippus,sp.,,Ash Hollow,,South Dakota,Great Plains,Miocene,Clarendonian,3.476,15.685,8.413
SDSM 53220 A,Equinae,Equini,Pliohippus,sp.,,Ash Hollow,,South Dakota,Great Plains,Miocene,Clarendonian,4.003,18.53,9.262
SDSM 53220 C,Equinae,Equini,Pliohippus,sp.,,Ash Hollow,,South Dakota,Great Plains,Miocene,Clarendonian,5.503,25.765,10.983
SDSM 53220-01,Equinae,Equini,Pliohippus,sp.,,Ash Hollow,,South Dakota,Great Plains,Miocene,Clarendonian,3.56,18.638,9.878
SDSM 5622,Equinae,"""Merychippini""",Merychippus,sp.,,Lower Snake Creek,,Nebraska,Great Plains,Miocene,Barstovian,2.967,17.13,9.945
SDSM 5622,Equinae,"""Merychippini""",Merychippus,sp.,,Lower Snake Creek,,Nebraska,Great Plains,Miocene,Barstovian,4.044,19.354,9.624
SDSM 577 Q,Equinae,Equini,Calippus,sp.,,Ash Hollow,,South Dakota,Great Plains,Miocene,Clarendonian,2.57,16.329,10.186
SDSM 577P-03,Equinae,Equini,Calippus,sp.,,Ash Hollow,,South Dakota,Great Plains,Miocene,Clarendonian,2.165,13.712,9.319
SDSM 62281,Equinae,Hipparionini,Pseudhipparion ,sp.,P4,Ash Hollow,,South Dakota,Great Plains,Miocene,Clarendonian,2.519,15.003,9.453
SDSM 62281,Equinae,Hipparionini,Pseudhipparion ,sp.,M1,Ash Hollow,,South Dakota,Great Plains,Miocene,Clarendonian,2.125,11.108,7.620
SDSM 62281,Equinae,Hipparionini,Pseudhipparion ,sp.,M2,Ash Hollow,,South Dakota,Great Plains,Miocene,Clarendonian,2.461,15.204,9.692
SDSM 62290,Equinae,Equini,Equus,sp.,,,,South Dakota,Great Plains,Pleistocene,Irv/Rancho,8.639,33.401,11.364
SDSM 65125,Equinae,Hipparionini,Merychippus,sp.,P2,Lower Snake Creek,,Nebraska,Great Plains,Miocene,Barstovian,3.697,18.294,9.514
SDSM 65125,Equinae,Hipparionini,Merychippus,sp.,,Lower Snake Creek,,Nebraska,Great Plains,Miocene,Barstovian,3.052,18.611,10.653
SDSM 7861,Equinae,Hipparionini,Pseudhipparion,sp.,P3,Ash Hollow,,South Dakota,Great Plains,Miocene,Clarendonian,2.747,14.836,8.951
SDSM 7861,Equinae,Hipparionini,Pseudhipparion,sp.,P4,Ash Hollow,,South Dakota,Great Plains,Miocene,Clarendonian,2.602,15.268,9.465
SDSM 7861,Equinae,Hipparionini,Pseudhipparion,sp.,M1,Ash Hollow,,South Dakota,Great Plains,Miocene,Clarendonian,2.311,13.855,9.114
SDSM 7861,Equinae,Hipparionini,Pseudhipparion,sp.,M2,Ash Hollow,,South Dakota,Great Plains,Miocene,Clarendonian,2.201,13.748,9.267
UCMP 124927,Equinae,Equini,Pliohippus ,sp.,P2,Mehrten,,California,California ,Miocene,Hemphillian,5.674,18.883,7.927
UCMP 124927,Equinae,Equini,Pliohippus ,sp.,P3,Mehrten,,California,California ,Miocene,Hemphillian,5.84,19.645,8.129
UCMP 124927,Equinae,Equini,Pliohippus ,sp.,P4,Mehrten,,California,California ,Miocene,Hemphillian,5.63,19.837,8.360
UCMP 124927,Equinae,Equini,Pliohippus ,sp.,M1,Mehrten,,California,California ,Miocene,Hemphillian,5.642,20.009,8.424
UCMP 124927,Equinae,Equini,Pliohippus ,sp.,M2,Mehrten,,California,California ,Miocene,Hemphillian,5.785,20.807,8.651
UCMP 124927,Equinae,Equini,Pliohippus ,sp.,M3,Mehrten,,California,California ,Miocene,Hemphillian,4.393,18.575,8.862
UCMP 21422,Equinae,Equini,Scaphohippus ,sumani ,P3,Barstow,,California,Great Basin,Miocene,Barstovian,1.522,9.435,7.648
UCMP 21422,Equinae,Equini,Scaphohippus ,sumani ,P4,Barstow,,California,Great Basin,Miocene,Barstovian,1.503,8.133,6.634
UCMP 21422,Equinae,Equini,Scaphohippus ,sumani ,M1,Barstow,,California,Great Basin,Miocene,Barstovian,1.479,7.921,6.513
UCMP 21422,Equinae,Equini,Scaphohippus ,sumani ,M2,Barstow,,California,Great Basin,Miocene,Barstovian,1.258,8.126,7.245
UCMP 23088,Equinae,Hipparionini,Merychippus ,seversus,P2,Mascall,,Oregon,Columbia Plateau,Miocene,Barstovian,2.72,14.885,9.025
UCMP 23088,Equinae,Hipparionini,Merychippus ,seversus,P3,Mascall,,Oregon,Columbia Plateau,Miocene,Barstovian,3.297,16.699,9.197
UCMP 23088,Equinae,Hipparionini,Merychippus ,seversus,P4,Mascall,,Oregon,Columbia Plateau,Miocene,Barstovian,3.036,16.332,9.373
UCMP 23088,Equinae,Hipparionini,Merychippus ,seversus,M1,Mascall,,Oregon,Columbia Plateau,Miocene,Barstovian,2.829,16.115,9.581
UCMP 23088,Equinae,Hipparionini,Merychippus ,seversus,M2,Mascall,,Oregon,Columbia Plateau,Miocene,Barstovian,2.608,15.395,9.533
UCMP 23088,Equinae,Hipparionini,Merychippus ,seversus,M3,Mascall,,Oregon,Columbia Plateau,Miocene,Barstovian,1.25,6.088,5.445
UCMP 27126,Equinae,Hipparionini,Neohipparion ,leptode,P2,Thousand Creek,,Nevada,Great Basin,Miocene,Hemphillian,3.999,18.828,9.415
UCMP 27126,Equinae,Hipparionini,Neohipparion ,leptode,P3,Thousand Creek,,Nevada,Great Basin,Miocene,Hemphillian,4.475,20.473,9.678
UCMP 27126,Equinae,Hipparionini,Neohipparion ,leptode,P4,Thousand Creek,,Nevada,Great Basin,Miocene,Hemphillian,4.176,21.579,10.560
UCMP 27126,Equinae,Hipparionini,Neohipparion ,leptode,M1,Thousand Creek,,Nevada,Great Basin,Miocene,Hemphillian,4.392,20.166,9.623
UCMP 27126,Equinae,Hipparionini,Neohipparion ,leptode,M2,Thousand Creek,,Nevada,Great Basin,Miocene,Hemphillian,3.701,19.425,10.097
UCMP 27126,Equinae,Hipparionini,Neohipparion ,leptode,M3,Thousand Creek,,Nevada,Great Basin,Miocene,Hemphillian,2.875,17.024,10.040
UCMP 30200,Equinae,Equini,Dinohippus ,interpolatus ,P2,Ogallala,,Texas,Great Plains,Miocene,Hemphillian,6.364,14.528,5.759
UCMP 30200,Equinae,Equini,Dinohippus ,interpolatus ,P3,Ogallala,,Texas,Great Plains,Miocene,Hemphillian,7.384,21.108,7.768
UCMP 30200,Equinae,Equini,Dinohippus ,interpolatus ,P4,Ogallala,,Texas,Great Plains,Miocene,Hemphillian,7.274,21.113,7.828
UCMP 30200,Equinae,Equini,Dinohippus ,interpolatus ,M1,Ogallala,,Texas,Great Plains,Miocene,Hemphillian,5.466,19.965,8.540
UCMP 30200,Equinae,Equini,Dinohippus ,interpolatus ,M2,Ogallala,,Texas,Great Plains,Miocene,Hemphillian,5.955,21.416,8.776
UCMP 30200,Equinae,Equini,Dinohippus ,interpolatus ,M3,Ogallala,,Texas,Great Plains,Miocene,Hemphillian,6.075,21.705,8.806
UCMP 30225,Equinae,Equini,Astrohippus,ansae,P2,Ogallala,,Texas,Great Plains,Miocene,Hemphillian,3.398,14.722,7.986
UCMP 30225,Equinae,Equini,Astrohippus,ansae,P3,Ogallala,,Texas,Great Plains,Miocene,Hemphillian,3.653,16.034,8.389
UCMP 30225,Equinae,Equini,Astrohippus,ansae,P4,Ogallala,,Texas,Great Plains,Miocene,Hemphillian,3.747,16.514,8.531
UCMP 30225,Equinae,Equini,Astrohippus,ansae,M1,Ogallala,,Texas,Great Plains,Miocene,Hemphillian,3.311,15.199,8.353
UCMP 30225,Equinae,Equini,Astrohippus,ansae,M2,Ogallala,,Texas,Great Plains,Miocene,Hemphillian,3.091,15.504,8.818
UCMP 30225,Equinae,Equini,Astrohippus,ansae,M3,Ogallala,,Texas,Great Plains,Miocene,Hemphillian,2.919,16.35,9.570
UCMP 30813,Equinae,Equini,Dinohippus ,interpolatus,P2,Ogallala,,Texas,Great Plains,Miocene,Hemphillian,5.277,18.648,8.118
UCMP 30813,Equinae,Equini,Dinohippus ,interpolatus,P3,Ogallala,,Texas,Great Plains,Miocene,Hemphillian,5.114,19.322,8.544
UCMP 30813,Equinae,Equini,Dinohippus ,interpolatus,P4,Ogallala,,Texas,Great Plains,Miocene,Hemphillian,5.376,19.499,8.410
UCMP 30813,Equinae,Equini,Dinohippus ,interpolatus,M1,Ogallala,,Texas,Great Plains,Miocene,Hemphillian,4.691,16.918,7.811
UCMP 30813,Equinae,Equini,Dinohippus ,interpolatus,M2,Ogallala,,Texas,Great Plains,Miocene,Hemphillian,4.769,18.184,8.327
UCMP 30813,Equinae,Equini,Dinohippus ,interpolatus,M3,Ogallala,,Texas,Great Plains,Miocene,Hemphillian,3.967,16.435,8.252
UCMP 31256,Equinae,Hipparionini,Neohipparion,eurystyle,P2,Ogallala,,Texas,Great Plains,Miocene,Clarendonian,3.497,13.939,7.454
UCMP 31256,Equinae,Hipparionini,Neohipparion,eurystyle,P3,Ogallala,,Texas,Great Plains,Miocene,Clarendonian,4.028,16.736,8.339
UCMP 31256,Equinae,Hipparionini,Neohipparion,eurystyle,P4,Ogallala,,Texas,Great Plains,Miocene,Clarendonian,4.433,17.531,8.326
UCMP 31256,Equinae,Hipparionini,Neohipparion,eurystyle,M1,Ogallala,,Texas,Great Plains,Miocene,Clarendonian,3.534,15.626,8.312
UCMP 31256,Equinae,Hipparionini,Neohipparion,eurystyle,M2,Ogallala,,Texas,Great Plains,Miocene,Clarendonian,4.23,17.247,8.386
UCMP 31256,Equinae,Hipparionini,Neohipparion,eurystyle,M3,Ogallala,,Texas,Great Plains,Miocene,Clarendonian,3.825,17.206,8.798
UCMP 31875,Equinae,Equini,Pliohippus ,tantalus,P2,Mehrten,,California,California ,Miocene,Hemphillian,5.987,18.632,7.615
UCMP 31875,Equinae,Equini,Pliohippus ,tantalus,P3,Mehrten,,California,California ,Miocene,Hemphillian,5.813,20.004,8.297
UCMP 31875,Equinae,Equini,Pliohippus ,tantalus,P4,Mehrten,,California,California ,Miocene,Hemphillian,5.647,19.545,8.225
UCMP 31875,Equinae,Equini,Pliohippus ,tantalus,M1,Mehrten,,California,California ,Miocene,Hemphillian,4.576,17.931,8.382
UCMP 31875,Equinae,Equini,Pliohippus ,tantalus,M2,Mehrten,,California,California ,Miocene,Hemphillian,4.688,14.688,6.784
UCMP 31875,Equinae,Equini,Pliohippus ,tantalus,M3,Mehrten,,California,California ,Miocene,Hemphillian,4.334,18.705,8.985
UCMP 32306,Equinae,Equini,Pliohippus ,cf. pernix,P2,Ogallala,,South Dakota,Great Plains,Miocene,Clarendonian,4.41,18.003,8.573
UCMP 32306,Equinae,Equini,Pliohippus ,cf. pernix,P3,Ogallala,,South Dakota,Great Plains,Miocene,Clarendonian,4.923,19.868,8.954
UCMP 32306,Equinae,Equini,Pliohippus ,cf. pernix,P4,Ogallala,,South Dakota,Great Plains,Miocene,Clarendonian,4.893,21.376,9.664
UCMP 32306,Equinae,Equini,Pliohippus ,cf. pernix,M1,Ogallala,,South Dakota,Great Plains,Miocene,Clarendonian,4.11,17.154,8.461
UCMP 32306,Equinae,Equini,Pliohippus ,cf. pernix,M2,Ogallala,,South Dakota,Great Plains,Miocene,Clarendonian,4.506,19.244,9.066
UCMP 32306,Equinae,Equini,Pliohippus ,cf. pernix,M3,Ogallala,,South Dakota,Great Plains,Miocene,Clarendonian,2.925,17.789,10.401
UCMP 32503,Equinae,Hipparionini,Pseudhipparion ,retrusum,P4,Valentine,Burge,Nebraska,Great Plains,Miocene,Clarendonian,2.9,14.972,8.792
UCMP 32503,Equinae,Hipparionini,Pseudhipparion ,retrusum,M1,Valentine,Burge,Nebraska,Great Plains,Miocene,Clarendonian,2.855,14.897,8.816
UCMP 32503,Equinae,Hipparionini,Pseudhipparion ,retrusum,M2,Valentine,Burge,Nebraska,Great Plains,Miocene,Clarendonian,2.94,15.468,9.021
UCMP 32503,Equinae,Hipparionini,Pseudhipparion ,retrusum,M3,Valentine,Burge,Nebraska,Great Plains,Miocene,Clarendonian,2.337,13.184,8.624
UCMP 32503 ,Equinae,Hipparionini,Pseudhipparion ,retrusum,P2,Valentine,Burge,Nebraska,Great Plains,Miocene,Clarendonian,2.95,17.147,9.983
UCMP 32503 ,Equinae,Hipparionini,Pseudhipparion ,retrusum,P3,Valentine,Burge,Nebraska,Great Plains,Miocene,Clarendonian,3.044,14.716,8.435
UCMP 32504,Equinae,Hipparionini,Pseudhipparion ,retrusum,P2,Valentine,Burge,Nebraska,Great Plains,Miocene,Clarendonian,2.691,14.3,8.717
UCMP 32504,Equinae,Hipparionini,Pseudhipparion ,retrusum,P3,Valentine,Burge,Nebraska,Great Plains,Miocene,Clarendonian,3.005,16.399,9.460
UCMP 32504,Equinae,Hipparionini,Pseudhipparion ,retrusum,P4,Valentine,Burge,Nebraska,Great Plains,Miocene,Clarendonian,2.831,16.388,9.740
UCMP 32504,Equinae,Hipparionini,Pseudhipparion ,retrusum,M1,Valentine,Burge,Nebraska,Great Plains,Miocene,Clarendonian,2.432,15.154,9.717
UCMP 32504,Equinae,Hipparionini,Pseudhipparion ,retrusum,M2,Valentine,Burge,Nebraska,Great Plains,Miocene,Clarendonian,2.68,15.372,9.390
UCMP 32504,Equinae,Hipparionini,Pseudhipparion ,retrusum,M3,Valentine,Burge,Nebraska,Great Plains,Miocene,Clarendonian,1.73,11.071,8.417
UCMP 32773,Equinae,Equini,Calippus ,regulus,P2,Ogallala,,Texas,Great Plains,Miocene,Clarendonian,1.179,8.685,7.999
UCMP 32773,Equinae,Equini,Calippus ,regulus,P3,Ogallala,,Texas,Great Plains,Miocene,Clarendonian,1.505,9.169,7.474
UCMP 32773,Equinae,Equini,Calippus ,regulus,P4,Ogallala,,Texas,Great Plains,Miocene,Clarendonian,1.68,9.572,7.385
UCMP 32773,Equinae,Equini,Calippus ,regulus,M1,Ogallala,,Texas,Great Plains,Miocene,Clarendonian,1.464,8.664,7.161
UCMP 32773,Equinae,Equini,Calippus ,regulus,M2,Ogallala,,Texas,Great Plains,Miocene,Clarendonian,1.33,9.539,8.271
UCMP 32773,Equinae,Equini,Calippus ,regulus,M3,Ogallala,,Texas,Great Plains,Miocene,Clarendonian,1.184,8.518,7.828
UCMP 32814,Equinae,Equini,Calippus,martini,P2,Laverne,,Oklahoma,Great Plains,Miocene,Clarendonian,3.309,10.734,5.901
UCMP 32814,Equinae,Equini,Calippus,martini,P3,Laverne,,Oklahoma,Great Plains,Miocene,Clarendonian,4.317,11.948,5.750
UCMP 32814,Equinae,Equini,Calippus,martini,P4,Laverne,,Oklahoma,Great Plains,Miocene,Clarendonian,4.218,12.506,6.089
